Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealer's Discount (% from list),Proposed GSA Price (w/o IFF fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
ORTRONICS,P1SF4ZRGDZZ002M,"PIGTAIL,6FBR,S-LC(PC),2M",$207.48 ,$103.74 ,50%,$127.47 ,39%,$126.51 ,USA,1 Year
ORTRONICS,P1SF4ZRGEZZ001M,"PIGTAIL,6FBR,S-LC(PC),1M",$196.56 ,$98.28 ,50%,$120.76 ,39%,$119.85 ,USA,1 Year
ORTRONICS,P1SF4ZRGEZZ002M,"PIGTAIL,6FBR,S-LC(PC),2M",$207.48 ,$103.74 ,50%,$127.47 ,39%,$126.51 ,USA,1 Year
ORTRONICS,P1SF4ZRGFZZ001M,"PIGTAIL,6FBR,S-LC(PC),1M",$196.56 ,$98.28 ,50%,$120.76 ,39%,$119.85 ,USA,1 Year
ORTRONICS,P1SF4ZRGFZZ002M,"PIGTAIL,6FBR,S-LC(PC),2M",$207.48 ,$103.74 ,50%,$127.47 ,39%,$126.51 ,USA,1 Year
ORTRONICS,P1SF4ZRGGZZ001M,"PIGTAIL,6FBR,S-LC(PC),1M",$196.56 ,$98.28 ,50%,$120.76 ,39%,$119.85 ,USA,1 Year
ORTRONICS,P1SF4ZRGGZZ002M,"PIGTAIL,6FBR,S-LC(PC),2M",$207.48 ,$103.74 ,50%,$127.47 ,39%,$126.51 ,USA,1 Year
ORTRONICS,P1SF4ZRGHZZ001M,"PIGTAIL,6FBR,S-LC(PC),1M",$196.56 ,$98.28 ,50%,$120.76 ,39%,$119.85 ,USA,1 Year
ORTRONICS,P1SF4ZRGHZZ002M,"PIGTAIL,6FBR,S-LC(PC),2M",$207.48 ,$103.74 ,50%,$127.47 ,39%,$126.51 ,USA,1 Year
ORTRONICS,P1SF4ZRGIZZ001M,"PIGTAIL,6FBR,S-LC(PC),1M",$196.56 ,$98.28 ,50%,$120.76 ,39%,$119.85 ,USA,1 Year
ORTRONICS,P1SF4ZRGIZZ002M,"PIGTAIL,6FBR,S-LC(PC),2M",$207.48 ,$103.74 ,50%,$127.47 ,39%,$126.51 ,USA,1 Year
ORTRONICS,P1SF4ZRGJZZ001M,"PIGTAIL,6FBR,S-LC(PC),1M",$196.56 ,$98.28 ,50%,$120.76 ,39%,$119.85 ,USA,1 Year
ORTRONICS,P1SF4ZRGJZZ002M,"PIGTAIL,6FBR,S-LC(PC),2M",$207.48 ,$103.74 ,50%,$127.47 ,39%,$126.51 ,USA,1 Year
ORTRONICS,P1SF4ZRGKZZ001M,"PIGTAIL,6FBR,S-LC(PC),1M",$196.56 ,$98.28 ,50%,$120.76 ,39%,$119.85 ,USA,1 Year
ORTRONICS,P1SF4ZRGKZZ002M,"PIGTAIL,6FBR,S-LC(PC),2M",$207.48 ,$103.74 ,50%,$127.47 ,39%,$126.51 ,USA,1 Year
ORTRONICS,P1SF4ZRGLZZ001M,"PIGTAIL,6FBR,S-LC(PC),1M",$196.56 ,$98.28 ,50%,$120.76 ,39%,$119.85 ,USA,1 Year
ORTRONICS,P1SF4ZRGLZZ002M,"PIGTAIL,6FBR,S-LC(PC),2M",$207.48 ,$103.74 ,50%,$127.47 ,39%,$126.51 ,USA,1 Year
ORTRONICS,P1TA4ZRGAZZ001M,"PIGTAIL,12FBR,S-LC(PC),1M",$382.20 ,$191.10 ,50%,$234.81 ,39%,$233.05 ,USA,1 Year
ORTRONICS,P1TA4ZRGAZZ002M,"PIGTAIL,12FBR,S-LC(PC),2M",$397.48 ,$198.74 ,50%,$244.20 ,39%,$242.37 ,USA,1 Year
ORTRONICS,P1TA4ZRGBZZ001M,"PIGTAIL,12FBR,S-LC(PC),1M",$382.20 ,$191.10 ,50%,$234.81 ,39%,$233.05 ,USA,1 Year
ORTRONICS,P1TA4ZRGBZZ002M,"PIGTAIL,12FBR,S-LC(PC),2M",$397.48 ,$198.74 ,50%,$244.20 ,39%,$242.37 ,USA,1 Year
ORTRONICS,P1TA4ZRGCZZ001M,"PIGTAIL,12FBR,S-LC(PC),1M",$382.20 ,$191.10 ,50%,$234.81 ,39%,$233.05 ,USA,1 Year
ORTRONICS,P1TA4ZRGCZZ002M,"PIGTAIL,12FBR,S-LC(PC),2M",$397.48 ,$198.74 ,50%,$244.20 ,39%,$242.37 ,USA,1 Year
ORTRONICS,P1TA4ZRGDZZ001M,"PIGTAIL,12FBR,S-LC(PC),1M",$382.20 ,$191.10 ,50%,$234.81 ,39%,$233.05 ,USA,1 Year
ORTRONICS,P1TA4ZRGDZZ002M,"PIGTAIL,12FBR,S-LC(PC),2M",$397.48 ,$198.74 ,50%,$244.20 ,39%,$242.37 ,USA,1 Year
ORTRONICS,P1TA4ZRGEZZ001M,"PIGTAIL,12FBR,S-LC(PC),1M",$382.20 ,$191.10 ,50%,$234.81 ,39%,$233.05 ,USA,1 Year
ORTRONICS,P1TA4ZRGEZZ002M,"PIGTAIL,12FBR,S-LC(PC),2M",$397.48 ,$198.74 ,50%,$244.20 ,39%,$242.37 ,USA,1 Year
ORTRONICS,P1TA4ZRGFZZ001M,"PIGTAIL,12FBR,S-LC(PC),1M",$382.20 ,$191.10 ,50%,$234.81 ,39%,$233.05 ,USA,1 Year
ORTRONICS,P1TA4ZRGFZZ002M,"PIGTAIL,12FBR,S-LC(PC),2M",$397.48 ,$198.74 ,50%,$244.20 ,39%,$242.37 ,USA,1 Year
ORTRONICS,P1TA4ZRGGZZ001M,"PIGTAIL,12FBR,S-LC(PC),1M",$382.20 ,$191.10 ,50%,$234.81 ,39%,$233.05 ,USA,1 Year
ORTRONICS,P1TA4ZRGGZZ002M,"PIGTAIL,12FBR,S-LC(PC),2M",$397.48 ,$198.74 ,50%,$244.20 ,39%,$242.37 ,USA,1 Year
ORTRONICS,P1TA4ZRGHZZ001M,"PIGTAIL,12FBR,S-LC(PC),1M",$382.20 ,$191.10 ,50%,$234.81 ,39%,$233.05 ,USA,1 Year
ORTRONICS,P1TA4ZRGHZZ002M,"PIGTAIL,12FBR,S-LC(PC),2M",$397.48 ,$198.74 ,50%,$244.20 ,39%,$242.37 ,USA,1 Year
ORTRONICS,P1TA4ZRGIZZ001M,"PIGTAIL,12FBR,S-LC(PC),1M",$382.20 ,$191.10 ,50%,$234.81 ,39%,$233.05 ,USA,1 Year
